Code	Title	SubTitle	Year	LowestFqWord	PrevalentVerb	PrevalentAdjective	PrevalentNoun	Songs	Lines	Words	Streams
TSW	Taylor Swift		2006	stoppin'	love	beautiful	song	14	563	4005	16.02
FER	Fearless	Taylor's Version	2008	fakin'	feel	little	baby	25	1102	8355	74.23
SPN	Speak Now	Taylor's Version	2010	pretending	love	little	life	22	1132	8790	66.95
RED	Red	Taylor's Version	2012	pretendin'	love	better	night	28	1431	10513	98.52
NEN	1989	Taylor's Version	2014	pacin'	love	clear	baby	22	1218	9379	141.77
REP	Reputation		2017	stabbed	call	bad	baby	15	941	7229	93.88
LVR	Lover		2019	wonderin'	love	bad	daylight	18	922	6703	124.89
FOL	Folklore		2020	pacing	love	mad	woman	17	720	5110	98.15
EVE	Evermore		2020	backlogged	love	left	thing	17	910	5985	55.75
MID	Midnights	The Til Dawn Edition	2022	wondering	love	different	karma	21	1071	7002	106.53
TPD	The Tortured Poets Department	The Anthology	2024	engulfed	tell	bad	life	31	1547	10632	74.71
OTH	Other Songs			wondering	run	young	matter	2	85	530
